use,scopus_ok,slot,year,journal,publisher,citations,title,authors,volume,issue,pages,doi,query
N,,,2024,Journal of Computer Assisted Learning,Wiley,5,"The physical, social, and mental conditions of machine learning in student health evaluation","Tyulepberdinova, Gulnur; Mansurova, Madina; Sarsembayeva, Talshyn; Issabayeva, Sulu; Issabayeva, Darazha",40.0,5.0,2020-2030,10.1111/jcal.12999,pitfalls machine learning computer security evaluation
Y,Y,imbalance,2025,PeerJ Computer Science,PeerJ,4,Optimized customer churn prediction using tabular generative adversarial network (GAN)-based hybrid sampling method and cost-sensitive learning,"Adiputra, I Nyoman Mahayasa; Wanchai, Paweena; Lin, Pei-Chun",11.0,,e2949,10.7717/peerj-cs.2949,cost-sensitive learning imbalanced network traffic
N,,,2024,Behaviormetrika,Springer Science and Business Media LLC,4,Maximal Pearson’s correlation coefficient between Likert items from the viewpoint of Hitchcock’s transportation problem,"Shojima, Kojiro",52.0,2.0,505-528,10.1007/s41237-024-00235-4,Matthews correlation coefficient classification evaluation
N,,,2024,Biometrical Journal,Wiley,4,A novel nonparametric time‐dependent precision–recall curve estimator for right‐censored survival data,"Beyene, Kassu Mehari; Chen, Ding‐Geng; Kifle, Yehenew Getachew",66.0,3.0,,10.1002/bimj.202300135,precision recall curve imbalanced evaluation
Y,Y,training,2025,Soft Computing,Springer Science and Business Media LLC,4,Early stopping strategies in Deep Image Prior,"Benfenati, Alessandro; Catozzi, Ambra; Franchini, Giorgia; Porta, Federica",29.0,8.0,4153-4174,10.1007/s00500-025-10642-8,early stopping model selection deep learning
Y,Y,related-work,2025,SECURITY AND PRIVACY,Wiley,4,"Leveraging Machine Learning and Deep Learning in
                    <scp>IoT</scp>
                    Security: A Review","Zahid, Mohammad; Bharati, Taran Singh",9.0,1.0,,10.1002/spy2.70144,deep learning IoT security survey 2025
Y,Y,training,2025,Neural Computing and Applications,Springer Science and Business Media LLC,4,AdamZ: an enhanced optimisation method for neural network training,"Zaznov, Ilia; Badii, Atta; Kunkel, Julian; Dufour, Alfonso",37.0,32.0,26887-26914,10.1007/s00521-025-11649-w,checkpoint selection validation neural network training
N,,,2025,Precision Radiation Oncology,Wiley,4,"Incidence, risk factors, and CT characteristics of radiation recall pneumonitis induced by COVID‐19 infection in lung cancer","Yun, Wenhua; Wen, Junxu; Zhai, Xueying; Yin, Xiaoyan; Meng, Xiangjiao",9.0,3.0,177-184,10.1002/pro6.70025,precision recall curve imbalanced evaluation
Y,Y,imbalance,2024,Neural Processing Letters,Springer Science and Business Media LLC,4,Class-Balanced Regularization for Long-Tailed Recognition,"Xu, Yuge; Lyu, Chuanlong",56.0,3.0,,10.1007/s11063-024-11624-x,long-tailed recognition deep learning
Y,Y,imbalance,2025,Scientific Reports,Springer Science and Business Media LLC,4,A deep convolutional neural network-based novel class balancing for imbalance data segmentation,"Kalsoom, Atifa; Iftikhar, M. A.; Ali, Amjad; Shah, Zubair; Balakrishnan, Shidin; Ali, Hazrat",15.0,1.0,,10.1038/s41598-025-04952-y,class weighting neural network training imbalance
N,,,2025,Scientific Reports,Springer Science and Business Media LLC,4,Deep learning based SentiNet architecture with hyperparameter optimization for sentiment analysis of customer reviews,"Madhurika, B.; Malleswari, D. Naga",15.0,1.0,,10.1038/s41598-025-19532-3,hyperparameter sensitivity deep learning security
